Number,Time (h)
37818,8.085277777777778
38646,8.085833333333333
39548,8.085833333333333
13310,8.085833333333333
31686,8.08611111111111
12636,8.086388888888889
13770,8.086388888888889
40602,8.086944444444445
15578,8.086944444444445
15595,8.086944444444445
31817,8.086944444444445
20526,8.087777777777777
14347,8.088055555555556
21334,8.088333333333333
38641,8.089166666666667
33433,8.089444444444444
33896,8.089444444444444
38281,8.09
15030,8.090277777777779
30936,8.090277777777779
33729,8.090555555555556
5621,8.090555555555556
23065,8.090833333333332
13868,8.091666666666667
33852,8.0925
33929,8.093055555555555
31635,8.09361111111111
39533,8.095277777777778
32139,8.095277777777778
36586,8.095555555555556
13625,8.095555555555556
40424,8.095833333333333
40426,8.095833333333333
5801,8.096111111111112
39363,8.096666666666666
38364,8.097222222222221
21001,8.0975
33025,8.097777777777777
4190,8.097777777777777
32992,8.098333333333333
33125,8.098333333333333
46074,8.098611111111111
36227,8.100555555555555
35274,8.10138888888889
30071,8.101666666666667
36508,8.101944444444445
32543,8.102222222222222
31298,8.1025
15315,8.102777777777778
16266,8.102777777777778
20219,8.102777777777778
4754,8.103333333333333
52492,8.103333333333333
30737,8.10361111111111
37762,8.10388888888889
11773,8.10388888888889
1114,8.104444444444445
15490,8.104444444444445
15614,8.104444444444445
15962,8.105277777777777
12564,8.105555555555556
37917,8.105555555555556
20184,8.106111111111112
41366,8.107222222222223
38187,8.108055555555556
16159,8.108611111111111
29727,8.108611111111111
41017,8.11
39785,8.110277777777778
13660,8.110277777777778
13536,8.110833333333334
20632,8.110833333333334
37438,8.110833333333334
33069,8.11111111111111
1943,8.112222222222222
1693,8.112222222222222
16502,8.113333333333333
4917,8.113888888888889
36474,8.114444444444445
39937,8.114444444444445
23060,8.115277777777777
31428,8.115277777777777
3951,8.115555555555556
32194,8.115555555555556
38321,8.116111111111111
14476,8.1175
33080,8.117777777777778
20962,8.118055555555555
4231,8.118611111111111
40353,8.119722222222222
30726,8.120277777777778
34462,8.120555555555555
